ES,System,Pollutant,CAS,Chemical.groups,Concentration,Units,Limit,Date,Reference,Notes
drink,,Diclofop-methyl,,Pesticide,0.009,mg/L,upper,2005,,
drink,,Dimethoate,,Pesticide,0.02,mg/L,upper,2005,,
drink,,Diquat,,Pesticide,0.07,mg/L,upper,2005,,
drink,,Diuron,,Pesticide,0.15,mg/L,upper,2005,,
drink,,Ethylbenzene,,Organic chemical,0.14,mg/L,upper,2014,,
drink,,Fluoride ,,Inorganic chemical,1.5,mg/L,upper,2010,,
drink,,Glyphosate,,Pesticide,0.28,mg/L,upper,2005,,
drink,,Haloacetic acids <U+0096> Total (HAAs),,Disinfectant & BP,0.08,mg/L,upper,2008,,
drink,,lead,,Metal,0.01,mg/L,upper,1992,,
drink,,Malathion,,Pesticide,0.19,mg/L,upper,2005,,
drink,,Mercury,,Metal,0.001,mg/L,upper,1986,,
drink,,2-Methyl-4- chlorophenoxyacetic acid,,Pesticide,0.1,mg/L,upper,2010,,
drink,,Metolachlor,,Pesticide,0.05,mg/L,upper,1986,,
drink,,Metribuzin,,Pesticide,0.08,mg/L,upper,2005,,
drink,,Monochlorobenzene,,Organic chemical,0.08,mg/L,upper,1987,,
drink,,nitrate,,Inorganic chemical,45,mg/L,upper,2013,,45 as nitrate; 10 as nitratenitrogen
drink,,Nitrilotriacetic acid,,Inorganic chemical,0.4,mg/L,upper,1990,,
drink,,Nitrite ,,Inorganic chemical,3,mg/L,upper,2013,,3 as nitrite; 1 as nitritenitrogen
drink,,N-Nitroso dimethylamine,,Disinfectant & BP,0.00004,mg/L,upper,2013,,
drink,,Paraquat (dichloride),,Pesticide,0.01,mg/L,upper,2005,,
drink,,Paraquat (ion),,Pesticide,0.007,mg/L,upper,2005,,
drink,,Pentachlorophenol,,Organic chemical,0.06,mg/L,upper,2005,,
drink,,Phorate,,Pesticide,0.002,mg/L,upper,2005,,
drink,,Picloram,,Pesticide,0.19,mg/L,upper,2005,,
drink,,Selenium ,,Metal,0.05,mg/L,upper,2014,,
drink,,Simazine,,Pesticide,0.01,mg/L,upper,1986,,
drink,,Terbufos,,Pesticide,0.001,mg/L,upper,2005,,
drink,,Tetrachloroethylene,,Organic chemical,0.01,mg/L,upper,2015,,
drink,,"2,3,4,6- Tetrachlorophenol",,Organic chemical,0.1,mg/L,upper,2005,,
drink,,Toluene,,Organic chemical,0.06,mg/L,upper,2014,,
drink,,Trichloroethylene,,Organic chemical,0.005,mg/L,upper,2005,,
drink,,"2,4,6- Trichlorophenol",,Organic chemical,0.005,mg/L,upper,2005,,
drink,,Trifluralin,,Pesticide,0.045,mg/L,upper,2005,,
drink,,Trihalomethanes,,Disinfectant & BP,0.1,mg/L,upper,2006,,
drink,,uranium,,Metal,0.02,mg/L,upper,1999,,
drink,,Vinyl chloride,,Organic chemical,0.002,mg/L,upper,2013,,
drink,,Xylenes,,Organic chemical,0.09,mg/L,upper,2014,,Total
drink,,Enteric protozoa,,Biological,,,upper,2012,,
drink,,Total coliforms<U+00A0>,,Biological,25,per 100 mL ,upper,2011,,Guideline:Treatment goal: Minimum 3 log removal and/or inactivation of cysts and oocysts
drink,,E.coli,,Biological,25,per 100 mL ,upper,2012,,"the real guideline is >0, but the detection limit is between 4 and 10"
drink,,Enteric viruses<U+00A0>,,Biological,,,upper,2011,,
drink,,turbidity,,Physical,0.1,NTU,upper,2012,,"Conventional and direct filtration: ? 0.3 NTU, slow sand and diatomaceous earth filtration: ? 1.0 NTU, slow sand and diatomaceous earth filtration: ? 1.0 NTU"
aquatic,,arsenic,,Metal,5,ug/L,upper,1997,,
aquatic,,atrazine,,Pesticide,1.8,ug/L,upper,1989,,membrane filtration: ? 0.1 NTU
aquatic,,cadmium,,Metal,0.09,ug/L,upper,2014,,
aquatic,,lead,,Metal,1,ug/L,upper,1987,,Equation
aquatic,,uranium,,Metal,15,ug/L,upper,2011,,
aquatic,,chloride,,Inorganic chemical,120000,ug/L,upper,2011,,
aquatic,,copper,,Metal,2,ug/L,upper,1987,,
aquatic,,molybdenum,,Metal,73,ug/L,upper,1999,,
aquatic,,nickel ,,Metal,25,ug/L,upper,1987,,
aquatic,,nitrate,,Inorganic chemical,13000,ug/L,upper,2012,,
aquatic,,zinc ,,Metal,30,ug/L,upper,1987,,
aquatic,,iron ,,Metal,300,ug/L,upper,1987,,
aquatic,,"1,1,2,2- Tetrachloroethene",,Organic chemical,110,ug/L,upper,1993,,
aquatic,,"1,2,3,4-Tetrachlorobenzene",,Organic chemical,1.8,ug/L,upper,1997,,
aquatic,,"1,1,2-Trichloroethene",,Organic chemical,21,ug/L,upper,1991,,
aquatic,,"1,2,3-Trichlorobenzene",,Organic chemical,8,ug/L,upper,1997,,
aquatic,,"1,2,4-Trichlorobenzene",,Organic chemical,24,ug/L,upper,1997,,
aquatic,,"1,2-Dichlorobenzene",,Organic chemical,0.7,ug/L,upper,1997,,
aquatic,,"1,2-Dichloroethane",,Organic chemical,100,ug/L,upper,1991,,
aquatic,,"1,3-Dichlorobenzene",,Organic chemical,150,ug/L,upper,1997,,
aquatic,,"1,4-Dichlorobenzene",,Organic chemical,26,ug/L,upper,1997,,
aquatic,,3-Iodo-2-propynyl butyl carbamate,,Organic chemical,1.9,ug/L,upper,1999,,
aquatic,,Acenaphthene,,Organic chemical,5.8,ug/L,upper,1999,,
aquatic,,Acridine,,Organic chemical,4.4,ug/L,upper,1999,,
aquatic,,Aldicarb,116063,Pesticide,1,ug/L,upper,1993,,
aquatic,,Aluminium,,Metal,5,ug/L,upper,1993,,5 <U+00B5>g/L if pH < 6.5;100 <U+00B5>g/L if pH ? 6.5
aquatic,,Ammonia (total),,Organic chemical,0.021,mg/L,upper,2001,,"minium, table"
aquatic,,Ammonia (un-ionized),,Organic chemical,19,ug/L,upper,2001,,
aquatic,,Aniline,,Organic chemical,2.2,ug/L,upper,1993,,
aquatic,,Anthracene,,Organic chemical,0.012,ug/L,upper,1999,,
aquatic,,Benz(a)anthracene,,Organic chemical,0.018,ug/L,upper,1999,,
aquatic,,Benzene,,Organic chemical,370,ug/L,upper,1999,,
aquatic,,Benzo(a)pyrene,,Organic chemical,0.015,ug/L,upper,1999,,
aquatic,,Boron ,,Metal,15000,ug/L,upper,2009,,
aquatic,,Bromacil,,Pesticide,5,ug/L,upper,1999,,
aquatic,,Bromoxynil,,Pesticide,5,ug/L,upper,1993,,
aquatic,,Captan,,Pesticide,1.3,ug/L,upper,1991,,
aquatic,,Carbaryl,,Pesticide,0.2,ug/L,upper,2009,,
aquatic,,Carbofuran,,Pesticide,1.8,ug/L,upper,1989,,
aquatic,,Chlorothalonil,,Pesticide,0.18,ug/L,upper,1994,,
aquatic,,Chlorpyrifos,,Pesticide,0.002,ug/L,upper,2008,,
aquatic,,"Chromium, hexavalent (Cr(VI))",,Metal,1,ug/L,upper,1997,,
aquatic,,"Chromium, trivalent (Cr(III))",,Metal,8.9,ug/L,upper,1997,,
aquatic,,Cyanide,,Inorganic chemical,5,ug/L,upper,1987,,as free CN
