"","station","date","variable","value","units","ym"
"79815",6009701102,2016-09-19,"cadmium",0.275,"ug/L","201609"
"79859",6009701802,2016-09-19,"cadmium",0.247,"ug/L","201609"
"80036",11000100502,2016-09-19,"cadmium",0.284,"ug/L","201609"
"80080",11000100702,2016-09-19,"cadmium",0.291,"ug/L","201609"
"80124",11000101202,2016-09-19,"cadmium",0.315,"ug/L","201609"
"80168",11000101302,2016-09-19,"cadmium",0.433,"ug/L","201609"
"80254",16008700602,2016-09-19,"cadmium",0.494,"ug/L","201609"
"80296",16008701002,2016-09-19,"cadmium",0.546,"ug/L","201609"
"80338",16008701502,2016-09-19,"cadmium",0.108,"ug/L","201609"
"80381",16018403402,2016-09-19,"cadmium",0.187,"ug/L","201609"
"80428",16018403602,2016-09-19,"cadmium",0.622,"ug/L","201609"
"80651",17002102102,2016-09-19,"cadmium",0.0273,"ug/L","201609"
"80782",17002104102,2016-09-19,"cadmium",0.246,"ug/L","201609"
"80826",17002105402,2016-09-19,"cadmium",0.0365,"ug/L","201609"
"80869",17002107402,2016-09-19,"cadmium",0.307,"ug/L","201609"
"80957",17002111902,2016-09-19,"cadmium",0.164,"ug/L","201609"
"81000",17002113002,2016-09-19,"cadmium",0.0326,"ug/L","201609"
"81044",17002113602,2016-09-19,"cadmium",0.294,"ug/L","201609"
"81087",17002113702,2016-09-19,"cadmium",0.304,"ug/L","201609"
"81133",17002600102,2016-09-19,"cadmium",0.134,"ug/L","201609"
"81241",17002600302,2016-09-19,"cadmium",0.0326,"ug/L","201609"
"81294",17002600402,2016-09-19,"cadmium",0.123,"ug/L","201609"
"81401",17002600702,2016-09-19,"cadmium",0.0517,"ug/L","201609"
"81509",17002601101,2016-09-19,"cadmium",0.159,"ug/L","201609"
"81562",17002601302,2016-09-19,"cadmium",0.232,"ug/L","201609"
"81615",17002601902,2016-09-19,"cadmium",0.472,"ug/L","201609"
"81666",17002602302,2016-09-19,"cadmium",0.258,"ug/L","201609"
"81765",18003300802,2016-09-19,"cadmium",0.133,"ug/L","201609"
"81879",18003303402,2016-09-19,"cadmium",0.0327,"ug/L","201609"
"81973",18003303602,2016-09-19,"cadmium",0.345,"ug/L","201609"
"82036",3001500202,2016-09-20,"cadmium",0.37,"ug/L","201609"
"82080",3001600302,2016-09-20,"cadmium",0.134,"ug/L","201609"
"82124",3001700202,2016-09-20,"cadmium",0.000511,"ug/L","201609"
"82167",3003000202,2016-09-20,"cadmium",0.123,"ug/L","201609"
"82211",3003600502,2016-09-20,"cadmium",0.0934,"ug/L","201609"
"82255",3003600902,2016-09-20,"cadmium",0.0218,"ug/L","201609"
"82299",3003601002,2016-09-20,"cadmium",0.159,"ug/L","201609"
"82343",4001303302,2016-09-20,"cadmium",0.0933,"ug/L","201609"
"82420",4001308202,2016-09-20,"cadmium",0.178,"ug/L","201609"
"82465",4001308302,2016-09-20,"cadmium",0.164,"ug/L","201609"
"82526",6002400102,2016-09-20,"cadmium",0.175,"ug/L","201609"
"82570",6003800102,2016-09-20,"cadmium",0.962,"ug/L","201609"
"82614",8002100202,2016-09-20,"cadmium",0.282,"ug/L","201609"
"82694",8002201202,2016-09-20,"cadmium",0.0817,"ug/L","201609"
"82740",8002201602,2016-09-20,"cadmium",0.142,"ug/L","201609"
"82787",8002201902,2016-09-20,"cadmium",0.0286,"ug/L","201609"
"82867",8004000802,2016-09-20,"cadmium",0.106,"ug/L","201609"
"82914",8013500302,2016-09-20,"cadmium",0.0412,"ug/L","201609"
"82957",8013500502,2016-09-20,"cadmium",0.0162,"ug/L","201609"
"82999",8013500602,2016-09-20,"cadmium",0.32,"ug/L","201609"
"83042",16007200102,2016-09-20,"cadmium",0.313,"ug/L","201609"
"83086",16018401202,2016-09-20,"cadmium",0.0888,"ug/L","201609"
"83179",16018401602,2016-09-20,"cadmium",0.388,"ug/L","201609"
"83384",16018411702,2016-09-20,"cadmium",0.918,"ug/L","201609"
"83463",18207015002,2016-09-20,"cadmium",0.177,"ug/L","201609"
"83526",6008000602,2016-09-21,"cadmium",0.622,"ug/L","201609"
"83569",6008200302,2016-09-21,"cadmium",0.791,"ug/L","201609"
"83633",16018401002,2016-09-21,"cadmium",0.203,"ug/L","201609"
"83679",16018402702,2016-09-21,"cadmium",0.0952,"ug/L","201609"
"83741",16018403502,2016-09-21,"cadmium",0.242,"ug/L","201609"
"83913",18207000802,2016-09-21,"cadmium",0.229,"ug/L","201609"
"83960",18207002002,2016-09-21,"cadmium",0.0357,"ug/L","201609"
"84021",18207010002,2016-09-21,"cadmium",0.2,"ug/L","201609"
"84179",6008300902,2016-09-22,"cadmium",0.212,"ug/L","201609"
"84222",6008301802,2016-09-22,"cadmium",0.218,"ug/L","201609"
"84266",6008301902,2016-09-22,"cadmium",0.59,"ug/L","201609"
"84317",6008310302,2016-09-22,"cadmium",0.195,"ug/L","201609"
"84405",6008501402,2016-09-22,"cadmium",0.366,"ug/L","201609"
"84474",6005000202,2016-09-26,"cadmium",0.121,"ug/L","201609"
"84517",16012401102,2016-09-26,"cadmium",0.0316,"ug/L","201609"
"84581",9000100402,2016-09-26,"cadmium",0.00159,"ug/L","201609"
"84624",9000100502,2016-09-26,"cadmium",0.158,"ug/L","201609"
"84666",9000800502,2016-09-26,"cadmium",0.24,"ug/L","201609"
"84708",9000800602,2016-09-26,"cadmium",0.225,"ug/L","201609"
"84751",9000800702,2016-09-26,"cadmium",0.0952,"ug/L","201609"
"85022",17002100702,2016-09-26,"cadmium",0.24,"ug/L","201609"
"85068",17002100802,2016-09-26,"cadmium",0.177,"ug/L","201609"
"85162",17002103802,2016-09-26,"cadmium",0.592,"ug/L","201609"
"85404",17002107702,2016-09-26,"cadmium",0.0668,"ug/L","201609"
"85504",17002114002,2016-09-26,"cadmium",0.191,"ug/L","201609"
"85550",17002114102,2016-09-26,"cadmium",0.118,"ug/L","201609"
"85881",19006400402,2016-09-26,"cadmium",0.228,"ug/L","201609"
"89136",4001308202,2016-10-17,"cadmium",0.527,"ug/L","201610"
"89243",6006000702,2016-10-17,"cadmium",0.425,"ug/L","201610"
"89289",6006000802,2016-10-17,"cadmium",0.59,"ug/L","201610"
"89335",6006100102,2016-10-17,"cadmium",1.23,"ug/L","201610"
"89381",6006300102,2016-10-17,"cadmium",0.303,"ug/L","201610"
"89427",6006301102,2016-10-17,"cadmium",0.269,"ug/L","201610"
"89473",6006301202,2016-10-17,"cadmium",1.08,"ug/L","201610"
"89519",8005600102,2016-10-17,"cadmium",0.0203,"ug/L","201610"
"89565",8005600202,2016-10-17,"cadmium",0.338,"ug/L","201610"
"89612",8005600302,2016-10-17,"cadmium",0.104,"ug/L","201610"
"89773",8005603902,2016-10-17,"cadmium",0.205,"ug/L","201610"
"89837",8007600102,2016-10-17,"cadmium",0.139,"ug/L","201610"
"89896",8010300102,2016-10-17,"cadmium",0.341,"ug/L","201610"
"89973",8012303002,2016-10-17,"cadmium",0.00257,"ug/L","201610"
"90067",9000902402,2016-10-17,"cadmium",1.37,"ug/L","201610"
"90130",16007200102,2016-10-17,"cadmium",0.161,"ug/L","201610"
"90176",17002601902,2016-10-17,"cadmium",0.0772,"ug/L","201610"
"90229",17002600102,2016-10-17,"cadmium",0.0273,"ug/L","201610"
"90335",17002600302,2016-10-17,"cadmium",0.0118,"ug/L","201610"
"90389",17002600402,2016-10-17,"cadmium",0.128,"ug/L","201610"
"90496",17002600702,2016-10-17,"cadmium",0.343,"ug/L","201610"
"90656",17002601202,2016-10-17,"cadmium",0.314,"ug/L","201610"
"90709",17002601302,2016-10-17,"cadmium",0.39,"ug/L","201610"
"90761",17002602302,2016-10-17,"cadmium",0.066,"ug/L","201610"
"90855",3001600302,2016-10-18,"cadmium",0.121,"ug/L","201610"
"90899",3001700202,2016-10-18,"cadmium",0.0637,"ug/L","201610"
"90986",3003600502,2016-10-18,"cadmium",0.184,"ug/L","201610"
"91072",3003601002,2016-10-18,"cadmium",0.000456,"ug/L","201610"
"91115",6018000202,2016-10-18,"cadmium",0.0448,"ug/L","201610"
"91160",6018000302,2016-10-18,"cadmium",0.405,"ug/L","201610"
"91435",8012305102,2016-10-18,"cadmium",0.355,"ug/L","201610"
"91496",8012305302,2016-10-18,"cadmium",0.0392,"ug/L","201610"
"91617",8013500502,2016-10-18,"cadmium",0.0118,"ug/L","201610"
"91701",12000200402,2016-10-18,"cadmium",0.0514,"ug/L","201610"
"91764",12000201002,2016-10-18,"cadmium",0.213,"ug/L","201610"
"91854",12007300802,2016-10-18,"cadmium",0.0248,"ug/L","201610"
"91897",12007301102,2016-10-18,"cadmium",0.0434,"ug/L","201610"
"91984",12008000302,2016-10-18,"cadmium",0.204,"ug/L","201610"
"92028",12008600102,2016-10-18,"cadmium",0.244,"ug/L","201610"
"92072",12008600202,2016-10-18,"cadmium",0.184,"ug/L","201610"
"92159",12008601102,2016-10-18,"cadmium",0.00698,"ug/L","201610"
"92399",17003700302,2016-10-18,"cadmium",0.19,"ug/L","201610"
"101415",10000100302,2016-12-19,"cadmium",0.833,"ug/L","201612"
"101474",16018403502,2016-12-22,"cadmium",0.641,"ug/L","201612"
"20616",17002113802,2016-05-03,"chla",1,"ug/L","201605"
"20617",17002113802,2016-05-03,"chla",1.2,"ug/L","201605"
"20636",17002113902,2016-05-03,"chla",1,"ug/L","201605"
"20637",17002113902,2016-05-03,"chla",1.5,"ug/L","201605"
"25064",6015900102,2016-05-17,"chla",1,"ug/L","201605"
"25065",6015900102,2016-05-17,"chla",1.4,"ug/L","201605"
"25114",6016400102,2016-05-17,"chla",2,"ug/L","201605"
"25115",6016400102,2016-05-17,"chla",3.1,"ug/L","201605"
"28631",17002113902,2016-05-24,"chla",1,"ug/L","201605"
"28632",17002113902,2016-05-24,"chla",1.4,"ug/L","201605"
"31397",17002113802,2016-05-30,"chla",2,"ug/L","201605"
"31398",17002113802,2016-05-30,"chla",3.2,"ug/L","201605"
"35042",6015900102,2016-06-13,"chla",12,"ug/L","201606"
"35043",6015900102,2016-06-13,"chla",26.2,"ug/L","201606"
"35092",6016400102,2016-06-13,"chla",1,"ug/L","201606"
"35093",6016400102,2016-06-13,"chla",1.7,"ug/L","201606"
"49213",6015900102,2016-07-11,"chla",1.36,"ug/L","201607"
"49214",6015900102,2016-07-11,"chla",1.89,"ug/L","201607"
"49263",6016400102,2016-07-11,"chla",1.37,"ug/L","201607"
"49264",6016400102,2016-07-11,"chla",2.54,"ug/L","201607"
"55211",17002113802,2016-07-19,"chla",1.07,"ug/L","201607"
"55212",17002113802,2016-07-19,"chla",2.11,"ug/L","201607"
"55231",17002113902,2016-07-19,"chla",0.73,"ug/L","201607"
"55232",17002113902,2016-07-19,"chla",1.05,"ug/L","201607"
"66572",6015900102,2016-08-16,"chla",0.38,"ug/L","201608"
"66573",6015900102,2016-08-16,"chla",0.63,"ug/L","201608"
"66622",6016400102,2016-08-16,"chla",0.65,"ug/L","201608"
"66623",6016400102,2016-08-16,"chla",1.18,"ug/L","201608"
"70898",17002113802,2016-08-23,"chla",1.1,"ug/L","201608"
"70899",17002113802,2016-08-23,"chla",1.84,"ug/L","201608"
"70918",17002113902,2016-08-23,"chla",1.01,"ug/L","201608"
"70919",17002113902,2016-08-23,"chla",1.19,"ug/L","201608"
"77469",6016400102,2016-09-13,"chla",2.78,"ug/L","201609"
"77470",6016400102,2016-09-13,"chla",2.85,"ug/L","201609"
"87939",17002113802,2016-10-03,"chla",0.53,"ug/L","201610"
"87940",17002113802,2016-10-03,"chla",1.07,"ug/L","201610"
"87959",17002113902,2016-10-03,"chla",1.28,"ug/L","201610"
"87960",17002113902,2016-10-03,"chla",1.49,"ug/L","201610"
"395",6008301902,2016-01-21,"e.coli",200,"COLONY FORMING UNITS","201601"
"451",6008501402,2016-01-21,"e.coli",360000,"COLONY FORMING UNITS","201601"
"651",6006800102,2016-01-27,"e.coli",880,"COLONY FORMING UNITS","201601"
"699",6007600302,2016-01-27,"e.coli",48,"COLONY FORMING UNITS","201601"
"746",6007600402,2016-01-27,"e.coli",28,"COLONY FORMING UNITS","201601"
"794",6007600502,2016-01-27,"e.coli",52,"COLONY FORMING UNITS","201601"
"842",6007600602,2016-01-27,"e.coli",150,"COLONY FORMING UNITS","201601"
"891",6007600802,2016-01-27,"e.coli",120,"COLONY FORMING UNITS","201601"
"939",6007601002,2016-01-27,"e.coli",32,"COLONY FORMING UNITS","201601"
"986",6007601502,2016-01-27,"e.coli",4,"COLONY FORMING UNITS","201601"
"1033",6007601602,2016-01-27,"e.coli",2100,"COLONY FORMING UNITS","201601"
"1082",6007601702,2016-01-27,"e.coli",16,"COLONY FORMING UNITS","201601"
"1130",6007601802,2016-01-27,"e.coli",40,"COLONY FORMING UNITS","201601"
"1179",6007602202,2016-01-27,"e.coli",36,"COLONY FORMING UNITS","201601"
"1227",6007602302,2016-01-27,"e.coli",84,"COLONY FORMING UNITS","201601"
"1276",6007605102,2016-01-27,"e.coli",4,"COLONY FORMING UNITS","201601"
"2088",6008301902,2016-02-18,"e.coli",560,"COLONY FORMING UNITS","201602"
"2140",6008501402,2016-02-18,"e.coli",97000,"COLONY FORMING UNITS","201602"
"2924",6006800102,2016-02-29,"e.coli",1100,"COLONY FORMING UNITS","201602"
"2973",6007600302,2016-02-29,"e.coli",190,"COLONY FORMING UNITS","201602"
"3021",6007600402,2016-02-29,"e.coli",76,"COLONY FORMING UNITS","201602"
"3069",6007600502,2016-02-29,"e.coli",12,"COLONY FORMING UNITS","201602"
"3117",6007600602,2016-02-29,"e.coli",240,"COLONY FORMING UNITS","201602"
"3166",6007600802,2016-02-29,"e.coli",28,"COLONY FORMING UNITS","201602"
"3214",6007601002,2016-02-29,"e.coli",420,"COLONY FORMING UNITS","201602"
"3262",6007601502,2016-02-29,"e.coli",92,"COLONY FORMING UNITS","201602"
"3311",6007601602,2016-02-29,"e.coli",250,"COLONY FORMING UNITS","201602"
"3360",6007601702,2016-02-29,"e.coli",140,"COLONY FORMING UNITS","201602"
"3408",6007601802,2016-02-29,"e.coli",140,"COLONY FORMING UNITS","201602"
"3456",6007602202,2016-02-29,"e.coli",64,"COLONY FORMING UNITS","201602"
"3505",6007602302,2016-02-29,"e.coli",200,"COLONY FORMING UNITS","201602"
"3554",6007605002,2016-02-29,"e.coli",480,"COLONY FORMING UNITS","201602"
"3603",6007605102,2016-02-29,"e.coli",100,"COLONY FORMING UNITS","201602"
"3651",6007605202,2016-02-29,"e.coli",1800,"COLONY FORMING UNITS","201602"
"4190",6008301902,2016-03-17,"e.coli",270,"COLONY FORMING UNITS","201603"
"4241",6008501402,2016-03-17,"e.coli",31000,"COLONY FORMING UNITS","201603"
"7611",6006800102,2016-04-07,"e.coli",220,"COLONY FORMING UNITS","201604"
"7661",6007600302,2016-04-07,"e.coli",620,"COLONY FORMING UNITS","201604"
"7710",6007600402,2016-04-07,"e.coli",240,"COLONY FORMING UNITS","201604"
"7760",6007600502,2016-04-07,"e.coli",20,"COLONY FORMING UNITS","201604"
"7809",6007600602,2016-04-07,"e.coli",660,"COLONY FORMING UNITS","201604"
"7858",6007600802,2016-04-07,"e.coli",36,"COLONY FORMING UNITS","201604"
"7907",6007601002,2016-04-07,"e.coli",300,"COLONY FORMING UNITS","201604"
"7955",6007601502,2016-04-07,"e.coli",16,"COLONY FORMING UNITS","201604"
"8005",6007601602,2016-04-07,"e.coli",300,"COLONY FORMING UNITS","201604"
"8054",6007601702,2016-04-07,"e.coli",600,"COLONY FORMING UNITS","201604"
"8103",6007601802,2016-04-07,"e.coli",320,"COLONY FORMING UNITS","201604"
"8152",6007602202,2016-04-07,"e.coli",200,"COLONY FORMING UNITS","201604"
"8201",6007602302,2016-04-07,"e.coli",310,"COLONY FORMING UNITS","201604"
"8250",6007605002,2016-04-07,"e.coli",280,"COLONY FORMING UNITS","201604"
"8299",6007605102,2016-04-07,"e.coli",20,"COLONY FORMING UNITS","201604"
"8348",6007605202,2016-04-07,"e.coli",32,"COLONY FORMING UNITS","201604"
"14727",6008301902,2016-04-21,"e.coli",56,"COLONY FORMING UNITS","201604"
"14864",6008501402,2016-04-21,"e.coli",110000,"COLONY FORMING UNITS","201604"
"19286",6006800102,2016-04-27,"e.coli",420,"COLONY FORMING UNITS","201604"
"19336",6007600302,2016-04-27,"e.coli",240,"COLONY FORMING UNITS","201604"
"19386",6007600402,2016-04-27,"e.coli",120,"COLONY FORMING UNITS","201604"
"19436",6007600502,2016-04-27,"e.coli",40,"COLONY FORMING UNITS","201604"
"19486",6007600602,2016-04-27,"e.coli",5400,"COLONY FORMING UNITS","201604"
"19536",6007600802,2016-04-27,"e.coli",24,"COLONY FORMING UNITS","201604"
"19586",6007601002,2016-04-27,"e.coli",370,"COLONY FORMING UNITS","201604"
"19636",6007601502,2016-04-27,"e.coli",80,"COLONY FORMING UNITS","201604"
"19685",6007601602,2016-04-27,"e.coli",400,"COLONY FORMING UNITS","201604"
"19735",6007601702,2016-04-27,"e.coli",140,"COLONY FORMING UNITS","201604"
"19785",6007601802,2016-04-27,"e.coli",3200,"COLONY FORMING UNITS","201604"
"19835",6007602202,2016-04-27,"e.coli",80,"COLONY FORMING UNITS","201604"
"19885",6007602302,2016-04-27,"e.coli",6900,"COLONY FORMING UNITS","201604"
"19935",6007605002,2016-04-27,"e.coli",260,"COLONY FORMING UNITS","201604"
"19985",6007605102,2016-04-27,"e.coli",12,"COLONY FORMING UNITS","201604"
"20035",6007605202,2016-04-27,"e.coli",2100,"COLONY FORMING UNITS","201604"
"25073",6015900102,2016-05-17,"e.coli",16,"COLONY FORMING UNITS","201605"
"25123",6016400102,2016-05-17,"e.coli",16,"COLONY FORMING UNITS","201605"
"26218",17000900102,2016-05-17,"e.coli",16,"COLONY FORMING UNITS","201605"
"27509",6008301902,2016-05-19,"e.coli",230,"COLONY FORMING UNITS","201605"
"27648",6008501402,2016-05-19,"e.coli",61000,"COLONY FORMING UNITS","201605"
"30196",6006800102,2016-05-25,"e.coli",340,"COLONY FORMING UNITS","201605"
"30245",6007600302,2016-05-25,"e.coli",24,"COLONY FORMING UNITS","201605"
"30293",6007600402,2016-05-25,"e.coli",36,"COLONY FORMING UNITS","201605"
"30342",6007600502,2016-05-25,"e.coli",64,"COLONY FORMING UNITS","201605"
"30389",6007600602,2016-05-25,"e.coli",28,"COLONY FORMING UNITS","201605"
"30438",6007600802,2016-05-25,"e.coli",36,"COLONY FORMING UNITS","201605"
"30487",6007601002,2016-05-25,"e.coli",16,"COLONY FORMING UNITS","201605"
"30536",6007601502,2016-05-25,"e.coli",28,"COLONY FORMING UNITS","201605"
"30584",6007601602,2016-05-25,"e.coli",340,"COLONY FORMING UNITS","201605"
"30633",6007601702,2016-05-25,"e.coli",4,"COLONY FORMING UNITS","201605"
"30682",6007601802,2016-05-25,"e.coli",36,"COLONY FORMING UNITS","201605"
"30732",6007602202,2016-05-25,"e.coli",56,"COLONY FORMING UNITS","201605"
"30779",6007602302,2016-05-25,"e.coli",60,"COLONY FORMING UNITS","201605"
"30828",6007605002,2016-05-25,"e.coli",40,"COLONY FORMING UNITS","201605"
"30877",6007605102,2016-05-25,"e.coli",32,"COLONY FORMING UNITS","201605"
"30926",6007605202,2016-05-25,"e.coli",100,"COLONY FORMING UNITS","201605"
"35051",6015900102,2016-06-13,"e.coli",1500,"COLONY FORMING UNITS","201606"
"35101",6016400102,2016-06-13,"e.coli",76,"COLONY FORMING UNITS","201606"
"35802",17000900102,2016-06-13,"e.coli",150,"COLONY FORMING UNITS","201606"
"43721",6008301902,2016-06-23,"e.coli",56,"COLONY FORMING UNITS","201606"
"43859",6008501402,2016-06-23,"e.coli",200,"COLONY FORMING UNITS","201606"
"47139",6006800102,2016-06-29,"e.coli",380,"COLONY FORMING UNITS","201606"
"47187",6007600302,2016-06-29,"e.coli",72,"COLONY FORMING UNITS","201606"
"47236",6007600402,2016-06-29,"e.coli",140,"COLONY FORMING UNITS","201606"
"47285",6007600502,2016-06-29,"e.coli",220,"COLONY FORMING UNITS","201606"
"47333",6007600602,2016-06-29,"e.coli",56,"COLONY FORMING UNITS","201606"
"47382",6007600802,2016-06-29,"e.coli",52,"COLONY FORMING UNITS","201606"
"47432",6007601002,2016-06-29,"e.coli",140,"COLONY FORMING UNITS","201606"
"47481",6007601502,2016-06-29,"e.coli",130,"COLONY FORMING UNITS","201606"
"47529",6007601602,2016-06-29,"e.coli",1100,"COLONY FORMING UNITS","201606"
"47578",6007601702,2016-06-29,"e.coli",64,"COLONY FORMING UNITS","201606"
"47626",6007601802,2016-06-29,"e.coli",64,"COLONY FORMING UNITS","201606"
"47674",6007602202,2016-06-29,"e.coli",180,"COLONY FORMING UNITS","201606"
"47722",6007602302,2016-06-29,"e.coli",80,"COLONY FORMING UNITS","201606"
"47770",6007605002,2016-06-29,"e.coli",350,"COLONY FORMING UNITS","201606"
"47819",6007605102,2016-06-29,"e.coli",84,"COLONY FORMING UNITS","201606"
"47868",6007605202,2016-06-29,"e.coli",220,"COLONY FORMING UNITS","201606"
"49222",6015900102,2016-07-11,"e.coli",2000,"COLONY FORMING UNITS","201607"
"49272",6016400102,2016-07-11,"e.coli",900,"COLONY FORMING UNITS","201607"
"56666",6008301902,2016-07-21,"e.coli",220,"COLONY FORMING UNITS","201607"
"56802",6008501402,2016-07-21,"e.coli",260,"COLONY FORMING UNITS","201607"
"60825",6006800102,2016-07-27,"e.coli",260,"COLONY FORMING UNITS","201607"
"60875",6007600302,2016-07-27,"e.coli",92,"COLONY FORMING UNITS","201607"
"60925",6007600402,2016-07-27,"e.coli",170,"COLONY FORMING UNITS","201607"
"60975",6007600502,2016-07-27,"e.coli",190,"COLONY FORMING UNITS","201607"
"61024",6007600602,2016-07-27,"e.coli",150,"COLONY FORMING UNITS","201607"
"61074",6007600802,2016-07-27,"e.coli",200,"COLONY FORMING UNITS","201607"
"61122",6007601002,2016-07-27,"e.coli",210,"COLONY FORMING UNITS","201607"
"61172",6007601502,2016-07-27,"e.coli",100,"COLONY FORMING UNITS","201607"
"61222",6007601602,2016-07-27,"e.coli",960,"COLONY FORMING UNITS","201607"
"61271",6007601702,2016-07-27,"e.coli",84,"COLONY FORMING UNITS","201607"
"61320",6007601802,2016-07-27,"e.coli",230,"COLONY FORMING UNITS","201607"
"61370",6007602202,2016-07-27,"e.coli",150,"COLONY FORMING UNITS","201607"
"61420",6007602302,2016-07-27,"e.coli",150,"COLONY FORMING UNITS","201607"
"61469",6007605002,2016-07-27,"e.coli",250,"COLONY FORMING UNITS","201607"
"61519",6007605102,2016-07-27,"e.coli",230,"COLONY FORMING UNITS","201607"
"61569",6007605202,2016-07-27,"e.coli",310,"COLONY FORMING UNITS","201607"
"66581",6015900102,2016-08-16,"e.coli",5000,"COLONY FORMING UNITS","201608"
"66631",6016400102,2016-08-16,"e.coli",720,"COLONY FORMING UNITS","201608"
"67469",17000900102,2016-08-16,"e.coli",4100,"COLONY FORMING UNITS","201608"
"72680",6008301902,2016-08-25,"e.coli",4200,"COLONY FORMING UNITS","201608"
"72819",6008501402,2016-08-25,"e.coli",28000,"COLONY FORMING UNITS","201608"
"74438",6006800102,2016-08-31,"e.coli",220,"COLONY FORMING UNITS","201608"
"74488",6007600302,2016-08-31,"e.coli",52,"COLONY FORMING UNITS","201608"
"74538",6007600402,2016-08-31,"e.coli",96,"COLONY FORMING UNITS","201608"
"74588",6007600502,2016-08-31,"e.coli",130,"COLONY FORMING UNITS","201608"
"74638",6007600602,2016-08-31,"e.coli",200,"COLONY FORMING UNITS","201608"
"74687",6007600802,2016-08-31,"e.coli",100,"COLONY FORMING UNITS","201608"
"74737",6007601002,2016-08-31,"e.coli",76,"COLONY FORMING UNITS","201608"
"74787",6007601502,2016-08-31,"e.coli",76,"COLONY FORMING UNITS","201608"
"74837",6007601602,2016-08-31,"e.coli",900,"COLONY FORMING UNITS","201608"
"74887",6007601702,2016-08-31,"e.coli",28,"COLONY FORMING UNITS","201608"
"74937",6007601802,2016-08-31,"e.coli",300,"COLONY FORMING UNITS","201608"
"74987",6007602202,2016-08-31,"e.coli",200,"COLONY FORMING UNITS","201608"
"75037",6007602302,2016-08-31,"e.coli",280,"COLONY FORMING UNITS","201608"
"75087",6007605002,2016-08-31,"e.coli",140,"COLONY FORMING UNITS","201608"
"75137",6007605102,2016-08-31,"e.coli",640,"COLONY FORMING UNITS","201608"
"75187",6007605202,2016-08-31,"e.coli",220,"COLONY FORMING UNITS","201608"
"77478",6016400102,2016-09-13,"e.coli",40,"COLONY FORMING UNITS","201609"
"78328",17000900102,2016-09-13,"e.coli",2400,"COLONY FORMING UNITS","201609"
"84276",6008301902,2016-09-22,"e.coli",56,"COLONY FORMING UNITS","201609"
"84415",6008501402,2016-09-22,"e.coli",480,"COLONY FORMING UNITS","201609"
"86847",6006800102,2016-09-27,"e.coli",4600,"COLONY FORMING UNITS","201609"
"86871",6007600302,2016-09-27,"e.coli",260,"COLONY FORMING UNITS","201609"
"86895",6007600402,2016-09-27,"e.coli",480,"COLONY FORMING UNITS","201609"
"86919",6007600502,2016-09-27,"e.coli",290,"COLONY FORMING UNITS","201609"
"86943",6007600602,2016-09-27,"e.coli",620,"COLONY FORMING UNITS","201609"
"86967",6007600802,2016-09-27,"e.coli",140,"COLONY FORMING UNITS","201609"
"86991",6007601002,2016-09-27,"e.coli",100,"COLONY FORMING UNITS","201609"
"87015",6007601502,2016-09-27,"e.coli",80,"COLONY FORMING UNITS","201609"
"87039",6007601602,2016-09-27,"e.coli",8500,"COLONY FORMING UNITS","201609"
"87063",6007601702,2016-09-27,"e.coli",180,"COLONY FORMING UNITS","201609"
"87087",6007601802,2016-09-27,"e.coli",290,"COLONY FORMING UNITS","201609"
"87111",6007602202,2016-09-27,"e.coli",470,"COLONY FORMING UNITS","201609"
"87135",6007602302,2016-09-27,"e.coli",1000,"COLONY FORMING UNITS","201609"
"87159",6007605002,2016-09-27,"e.coli",150,"COLONY FORMING UNITS","201609"
"87183",6007605102,2016-09-27,"e.coli",380,"COLONY FORMING UNITS","201609"
"87207",6007605202,2016-09-27,"e.coli",410,"COLONY FORMING UNITS","201609"
"92840",6008301902,2016-10-20,"e.coli",7400,"COLONY FORMING UNITS","201610"
"92901",6008501402,2016-10-20,"e.coli",2400,"COLONY FORMING UNITS","201610"
"94186",6006800102,2016-10-26,"e.coli",88,"COLONY FORMING UNITS","201610"
"94210",6007600302,2016-10-26,"e.coli",76,"COLONY FORMING UNITS","201610"
"94234",6007600402,2016-10-26,"e.coli",64,"COLONY FORMING UNITS","201610"
"94258",6007600502,2016-10-26,"e.coli",3.3,"COLONY FORMING UNITS","201610"
"94282",6007600602,2016-10-26,"e.coli",100,"COLONY FORMING UNITS","201610"
"94306",6007600802,2016-10-26,"e.coli",12,"COLONY FORMING UNITS","201610"
"94330",6007601002,2016-10-26,"e.coli",56,"COLONY FORMING UNITS","201610"
"94354",6007601502,2016-10-26,"e.coli",36,"COLONY FORMING UNITS","201610"
"94378",6007601602,2016-10-26,"e.coli",400,"COLONY FORMING UNITS","201610"
"94402",6007601702,2016-10-26,"e.coli",28,"COLONY FORMING UNITS","201610"
"94426",6007601802,2016-10-26,"e.coli",110,"COLONY FORMING UNITS","201610"
"94450",6007602202,2016-10-26,"e.coli",56,"COLONY FORMING UNITS","201610"
"94474",6007602302,2016-10-26,"e.coli",150,"COLONY FORMING UNITS","201610"
"94498",6007605002,2016-10-26,"e.coli",200,"COLONY FORMING UNITS","201610"
"94522",6007605102,2016-10-26,"e.coli",140,"COLONY FORMING UNITS","201610"
"94546",6007605202,2016-10-26,"e.coli",170,"COLONY FORMING UNITS","201610"
"98992",6008301902,2016-11-24,"e.coli",2100,"COLONY FORMING UNITS","201611"
"99052",6008501402,2016-11-24,"e.coli",7900,"COLONY FORMING UNITS","201611"
